Name,Type,Description,Location
National Park of American Samoa,Not Available," The National Park of American Samoa welcomes you into the heart of the South Pacific, to a world of sights, sounds, and experiences that you will find in no other national park in the United States. Enjoy this unique national park and the welcoming people of American Samoa. We are here to protect its rich culture and natural resources. Come explore them with us! ","Pago Pago, American Samoa, AS"
Canyon de Chelly,National Monument," For nearly 5,000 years, people have lived in these canyons - longer than anyone has lived uninterrupted anywhere on the Colorado Plateau.  In the place called Tsegi, their homes and images tell us their stories. Today, Navajo families make their homes, raise livestock, and farm the lands in the canyons. A place like no other, the park and Navajo Nation work together to manage the land's resources. ","Chinle, AZ"
Casa Grande Ruins,National Monument," Explore the mystery and complexity of an extended network of communities and irrigation canals. An Ancient Sonoran Desert People's farming community and ""Great House"" are preserved at Casa Grande Ruins. Whether the Casa Grande was a gathering place for the Desert People or simply a waypoint marker in an extensive system of canals and trading partners is but part of the mystique of the Ruins ","Coolidge, AZ"
Chiricahua,National Monument," A ""Wonderland of Rocks"" is waiting for you to explore at Chiricahua National Monument. The 8-mile paved scenic drive and 17-miles of day-use hiking trails provide opportunities to discover the beauty, natural sounds, and inhabitants of this 11,985 acre site. Visit the Faraway Ranch Historic District to discover more about the people who have called this area home. ","Willcox, AZ"
Coronado,National Memorial," It was a journey of conquest filled with exploration, wonder - and cruelty. Inspired by tales of vast cities of gold, 339 European soldiers and hundreds of Aztec allies embarked on an epic journey through arid deserts and rugged mountains. They encountered rich traditions and brought new technologies. The resulting collision and combination of cultures reverberates today. ","Hereford, AZ"
Fort Bowie,National Historic Site," Fort Bowie witnessed almost 25 years of conflict between the Chiricahua Apache and the US Army, and remains a tangible connection to the turbulent era of the late 1800s. Explore the history of Fort Bowie and Apache Pass as you hike the 1.5 mile trail to the visitor center and old fort ruins. Today, this peaceful landscape stands in stark contrast to the violence that once gripped this land. ","Willcox, AZ"
Glen Canyon,National Recreation Area," Encompassing over 1.25 million acres, Glen Canyon National Recreation Area offers unparalleled opportunities for water-based & backcountry recreation. The recreation area stretches for hundreds of miles from Lees Ferry in Arizona to the Orange Cliffs of southern Utah, encompassing scenic vistas, geologic wonders, and a vast panorama of human history. ","Glen Canyon National Recreation Area, AZ,UT"
Grand Canyon,National Park," Unique combinations of geologic color and erosional forms decorate a canyon that is 277 river miles (446km) long, up to 18 miles (29km) wide, and a mile (1.6km) deep. Grand Canyon overwhelms our senses through its immense size. South Rim is open all year.  North Rim is closed for the winter. On February 26, 1919, Grand Canyon became a National Park. This is our Centennial Year! ","Grand Canyon, AZ"
Hubbell Trading Post,National Historic Site," The squeaky wooden floor greets your entry into the oldest operating trading post on the Navajo Nation.  When your eyes adjust to the dim light in the ""bullpen"" you find you’ve just entered a mercantile.  Hubbell Trading Post has been serving Ganado selling goods and Native American Art since 1878. Discover Hubbell Trading Post NHS, where history is made every day! ","Ganado, AZ"
Juan Bautista de Anza,National Historic Trail," ""¡Vayan Subiendo!""(""Everyone mount up!"") was the rousing call from Juan Bautista de Anza. In 1775-76, he led some 240 men, women, and children on an epic journey to establish the first non-Native settlement at San Francisco Bay. Today, the 1,200-mile Juan Bautista de Anza National Historic Trail connects history, culture, and outdoor recreation from Nogales, Arizona, to the San Francisco Bay Area. ","Nogales, AZ to San Francisco, CA, AZ,CA"
Lake Mead,National Recreation Area," Boat, hike, cycle, camp and fish at America’s most diverse national recreation area. With striking landscapes and brilliant blue waters, this year-round playground spreads across 1.5 million acres of mountains, canyons, valleys and two vast lakes. See the Hoover Dam from the waters of Lake Mead or Lake Mohave, or find solitude in one of the park's nine wilderness areas. ","the Mojave Desert, AZ,NV"
Montezuma Castle,National Monument," Today we gaze through the windows of the past into one of the best preserved cliff dwellings in North America. This 20 room high-rise apartment, nestled into a towering limestone cliff, tells a story of ingenuity, survival and ultimately, prosperity in an unforgiving desert landscape. Come marvel at this enduring legacy of the Sinagua culture and reveal a people surprisingly similar to ourselves. ","Camp Verde, AZ"
Navajo,National Monument," The Puebloan Ancestors built Tsegi Phase villages within the natural sandstone alcoves of our canyons. Betatakin, Keet Seel, and Inscription House are the three cliff dwelling sites that are tucked away in the alcoves. These villages, which date from AD 1250 to 1300, thrill all who visit with original architectural elements such as masonry walls, roof beams, and pictographs. ","Black Mesa, AZ"
Old Spanish,National Historic Trail," Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses. ","AZ,CA,CO,NV,NM,UT"
Organ Pipe Cactus,National Monument," Look closely. Look again. The sights and sounds of Organ Pipe Cactus National Monument, an International Biosphere Reserve, reveal a thriving community of plants and animals. Human stories echo throughout this desert preserve, chronicling thousands of years of desert living. A scenic drive, wilderness hike or a night of camping will expose you to a living desert that thrives. ","Ajo, AZ"
Parashant,National Monument," Take a lonely and rocky two-track road in a 4x4 to the edge of the Grand Wash Cliffs. Find a stunning solitary vista deep into the Grand Canyon. Relax in the shade of ponderosas at Mt. Trumbull. Touch ancient waters at Pakoon Springs in one of the driest places in the world. Parashant is remote. There are no crowds here. Be equipped to leave pavement, cell service, and the 21st century behind. ","Northern Arizona, AZ"
Petrified Forest,National Park," Did you know that Petrified Forest is more spectacular than ever? While the park has all the wonders known for a century, there are many new adventures and discoveries to share. There are backcountry hikes into areas never open before such as Red Basin and little known areas like the Martha's Butte. There are new exhibits that bring the stories to life. Come rediscover Petrified Forest! ","Petrified Forest National Park, AZ"
Pipe Spring,National Monument," Beneath vermilion cliffs, American Indians, Mormon ranchers, plants, animals, and many others have depended on the life-giving water found at the desert oasis at Pipe Spring. Learn about settler and Kaibab Paiute life by exploring the museum, historic fort and cabins, garden, and Ridge Trail. Visit with rangers and ranch animals, and attend living history demonstrations and talks. ","Fredonia, AZ"
Saguaro,National Park," Tucson, Arizona is home to the nation's largest cacti. The giant saguaro is the universal symbol of the American west. These majestic plants, found only in a small portion of the United States, are protected by Saguaro National Park, to the east and west of the modern city of Tucson. Here you have a chance to see these enormous cacti, silhouetted by the beauty of a magnificent desert sunset. ","Tucson, AZ"
Sunset Crater Volcano,National Monument," The cinder cone volcano's rim is the dusky red of sunset, but the crater is only part of the story. Around 1085 the ground began to shake, and lava spewed high into the air. When the eruption finished, it had changed both the landscape and the people who lived here. Today, it teaches how nature and humankind affect each other—and how rebirth and renewal happen in the wake of disaster. ","Flagstaff, AZ"
Tonto,National Monument," The Salado Phenomena, 700 years ago, blended ideas of neighboring Native American cultures to emerge a unique and vibrant society. Tonto National Monument showcases two Salado-style cliff dwellings. Colorful pottery, woven cotton cloth, and other artifacts tell a story of people living and using resources from the northern Sonoran Desert from 1250 to 1450 CE. ","Roosevelt, AZ"
Tumacácori,National Historical Park," Tumacácori sits at a cultural crossroads in the Santa Cruz River valley. Here O’odham, Yaqui, and Apache people met and mingled with European Jesuit and Franciscan missionaries, settlers, and soldiers, sometimes in conflict and sometimes in cooperation. Follow the timeworn paths and discover stories that connect us to enduring relationships, vibrant cultures, and traditions of long ago. ","Tumacácori, AZ"
Tuzigoot,National Monument, Crowning a desert hilltop is an ancient pueblo. A child scans the desert landscape for the arrival of traders. What riches will they bring? What stories will they tell? From the rooftop of the Tuzigoot pueblo it is easy to imagine such a moment. The pueblo shows us this ancient village built by the Sinagua people. They were farmers and artists with trade connections that spanned hundreds of miles. ,"Clarkdale, AZ"
Walnut Canyon,National Monument," Come gaze across curved canyon walls! Among the remarkable geological formations of the canyon itself, the former homes of ancient inhabitants are easily evident. Along the trails you can imagine life within Walnut Canyon, while visiting actual pueblos and walking in the steps of those who came before. ","Flagstaff, AZ"
Wupatki,National Monument," Nestled between the Painted Desert and ponderosa highlands of northern Arizona, Wupatki is a landscape of legacies. Ancient pueblos dot red-rock outcroppings across miles of prairie. Where food and water seem impossible to find, people built pueblos, raised families, farmed, traded, and thrived. Today, if you linger and listen, earth and artifacts whisper their stories to us still. ","Flagstaff, AZ"
Arkansas Post,National Memorial," Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity. ","Gillett, AR"
Buffalo,National River," Established in 1972, Buffalo National River flows freely for 135 miles and is one of the few remaining undammed rivers in the lower 48 states. Once you arrive, prepare to journey from running rapids to quiet pools while surrounded by massive bluffs as you cruise through the Ozark Mountains down to the White River. ","Harrison and St. Joe, AR"
Fort Smith,National Historic Site," From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history. Explore life on the edge of Indian Territory through the stories of soldiers, the Trail of Tears, dangerous outlaws, and the brave lawmen who pursued them. ","Fort Smith, AR,OK"
Hot Springs,National Park," Water. That's what first attracted people, and they have been coming here ever since to use these soothing thermal waters to heal and relax. Rich and poor alike came for the baths, and a thriving city built up around the hot springs. Together nicknamed ""The American Spa,"" Hot Springs National Park today surrounds the north end of the city of Hot Springs, Arkansas. Come discover it for yourself. ","Hot Springs, AR"
Little Rock Central High School,National Historic Site," Little Rock Central High School is recognized for the role it played in the desegregation of public schools in the United States.  The nine African-American students' persistence in attending the formerly all-white Central High School was the most prominent national example of the implementation of the May 17, 1954 Supreme Court decision Brown v. Board of Education. ","Little Rock, AR"
Pea Ridge,National Military Park," On March 7-8, 1862, over 23,000 soldiers fought here to decide the fate of Missouri and was a turning point of the war in the West.  The 4,300 acre battlefield honors those who fought and died on these grounds. Pea Ridge was the most pivotal Civil War battle west of the Mississippi River and is one of the most intact Civil War battlefields in the United States. ","Pea Ridge, AR"
President William Jefferson Clinton Birthplace Home,National Historic Site," On August 19, 1946, Virginia Blythe gave birth to her son, William Jefferson Blythe, III. Named for his father who died before he was born, he grew up to become William Jefferson Clinton - the 42nd president of the United States. In this house, he learned many of the early lessons that defined his life and his presidency. ","Hope, AR"
Trail Of Tears,National Historic Trail," Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839. ","AL,AR,GA,IL,KY,MO,NC,OK,TN"
Alcatraz Island,Not Available," Alcatraz Island offers a close-up look at the site of the first lighthouse and US built fort on the West Coast, the infamous federal penitentiary long off-limits to the public, and the history making 18 month occupation by Indians of All Tribes. Rich in history, there is also a natural side to the Rock—gardens, tide pools, bird colonies, and bay views beyond compare. ","San Francisco, CA"
Cabrillo,National Monument," Climbing out of his boat and onto shore in 1542, Juan Rodriguez Cabrillo stepped into history as the first European to set foot on what is now the West Coast of the United States. In addition to telling the story of 16th century exploration, the park is home to a wealth of cultural and natural resources. Join us and embark on your own Voyage of Discovery. ","San Diego, CA"
California,National Historic Trail," Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons. ","Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
Castle Mountains,National Monument," Castle Mountains represents some of the most unique elements of the Mojave Desert. Nestled between the Nevada state line and Mojave National Preserve, the nearly 21,000 acres of Castle Mountains boasts Joshua tree forests, unbroken natural landscapes, rare desert grasslands, and rich human history. This intriguing area provides serenity and solitude from nearby metropolitan areas. ","Barstow, CA"
César E. Chávez,National Monument," Yes, we can! Widely recognized as the most important Latino leader in the United States during the twentieth century, César E. Chávez led farm workers and supporters in the establishment of the country's first permanent agricultural union. His leadership brought sustained international attention to the plight of U.S. farm workers, and secured for them higher wages and safer working conditions ",Not Available
Channel Islands,National Park," Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was. ","Ventura, CA"
Death Valley,National Park," In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life survives in Death Valley. ","Death Valley, CA,NV"
Devils Postpile,National Monument," Established in 1911 by presidential proclamation, Devils Postpile National Monument protects and preserves the Devils Postpile formation, the 101-foot high Rainbow Falls, and pristine mountain scenery.  The formation is a rare sight in the geologic world and ranks as one of the world's finest examples of columnar basalt. Its columns tower 60 feet high and display an unusual symmetry. ","the Sierra Nevada near     Mammoth Lakes, CA"
Eugene O'Neill,National Historic Site," America's only Nobel Prize winning playwright, Eugene O'Neill, chose to live in Northern California at the height of his writing career. Isolated from the world and within the walls of his home, O'Neill wrote his final and most memorable plays; The Iceman Cometh, Long Day's Journey Into Night, and A Moon for the Misbegotten. ","Danville, CA"
Fort Point,National Historic Site," From its vantage point overlooking the spectacular Golden Gate, Fort Point defended the San Francisco Bay following California's Gold Rush through World War II. Its beautifully arched casemates display the art of 3rd system brick masonry and interacts gracefully with the Golden Gate Bridge. ","Presidio of San Francisco, CA"
Golden Gate,National Recreation Area," Experience a park so rich it supports 19 distinct ecosystems with over 2,000 plant and animal species. Go for a hike, enjoy a vista, have a picnic or learn about the centuries of overlapping history from California’s indigenous cultures, Spanish colonialism, the Mexican Republic, US military expansion and the growth of San Francisco. All of this and more awaits you, so get out and find your park. ","San Francisco, CA"
John Muir,National Historic Site," John Muir played many roles in his life, all of which helped him succeed in his role as an advocate for Nature. As America’s most famous naturalist and conservationist, Muir fought to protect the wild places he loved, places we can still visit today. Muir’s writings convinced the U.S. government to protect Yosemite, Sequoia, Grand Canyon and Mt. Rainier as national parks. ","Martinez, CA"
Joshua Tree,National Park," Two distinct desert ecosystems, the Mojave and the Colorado, come together in Joshua Tree National Park. A fascinating variety of plants and animals make their homes in a land sculpted by strong winds and occasional torrents of rain. Dark night skies, a rich cultural history, and surreal geologic features add to the wonder of this vast wilderness in southern California. Come explore for yourself. ","Southern California between I-10 and Hwy 62; headquarters in Twentynine Palms, CA"
Juan Bautista de Anza,National Historic Trail," ""¡Vayan Subiendo!""(""Everyone mount up!"") was the rousing call from Juan Bautista de Anza. In 1775-76, he led some 240 men, women, and children on an epic journey to establish the first non-Native settlement at San Francisco Bay. Today, the 1,200-mile Juan Bautista de Anza National Historic Trail connects history, culture, and outdoor recreation from Nogales, Arizona, to the San Francisco Bay Area. ","Nogales, AZ to San Francisco, CA, AZ,CA"
Lassen Volcanic,National Park," Lassen Volcanic National Park is home to steaming fumaroles, meadows freckled with wildflowers, clear mountain lakes, and numerous volcanoes. Jagged peaks tell the story of its eruptive past while hot water continues to shape the land. Lassen Volcanic offers opportunities to discover the wonder and mysteries of volcanoes and hot water for visitors willing to explore the undiscovered. ","Mineral, CA"
Lava Beds,National Monument," Lava Beds National Monument is a land of turmoil, both geological and historical. Over the last half-million years, volcanic eruptions on the Medicine Lake shield volcano have created a rugged landscape dotted with diverse volcanic features. More than 700 caves, Native American rock art sites, historic battlefields and campsites, and a high desert wilderness experience await you! ","Tulelake, CA"
Manzanar,National Historic Site," In 1942, the United States government ordered more than 110,000 men, women, and children to leave their homes and detained them in remote, military-style camps. Manzanar War Relocation Center was one of ten camps where Japanese American citizens and resident Japanese aliens were incarcerated during World War II. ","Independence, CA"
Mojave,National Preserve," Singing sand dunes, cinder cone volcanoes, Joshua tree forest, and carpets of wildflowers are all found at this 1.6-million-acre park. A visit to its canyons, mountains, and mesas will reveal long-abandoned mines, homesteads, and rock-walled military outposts. Located between Los Angeles and Las Vegas, Mojave provides serenity and solitude from major metropolitan areas. ","Southern California between I-15 and I-40; headquarters in Barstow, CA"
Muir Woods,National Monument," Walk among old growth coast redwoods, cooling their roots in the fresh water of Redwood Creek and lifting their crowns to reach the sun and fog. Federally protected as a National Monument since 1908, this primeval forest is both refuge and laboratory, revealing our relationship with the living landscape. What will you discover in Muir Woods? ","Mill Valley, CA"
Old Spanish,National Historic Trail," Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses. ","AZ,CA,CO,NV,NM,UT"
Pinnacles,National Park," Some 23 million years ago multiple volcanoes erupted, flowed, and slid to form what would become Pinnacles National Park. What remains is a unique landscape. Travelers journey through chaparral, oak woodlands, and canyon bottoms. Hikers enter rare talus caves and emerge to towering rock spires teeming with life: prairie and peregrine falcons, golden eagles, and the inspiring California condor. ","Paicines, CA"
Point Reyes,National Seashore," From its thunderous ocean breakers crashing against rocky headlands and expansive sand beaches to its open grasslands, brushy hillsides, and forested ridges, Point Reyes offers visitors over 1500 species of plants and animals to discover. Home to several cultures over thousands of years, the Seashore preserves a tapestry of stories and interactions of people. Point Reyes awaits your exploration. ","Point Reyes, CA"
Pony Express,National Historic Trail, It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph. ,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
Port Chicago Naval Magazine,National Memorial," On the evening of July 17, 1944, residents in the San Francisco east bay area were jolted awake by a massive explosion that cracked windows and lit up the night sky. At Port Chicago Naval Magazine, 320 men were instantly killed when two ships being loaded with ammunition for the Pacific theater troops blew up. It was WWII's worst home front disaster. ","Concord Naval Weapons Station, CA"
Presidio of San Francisco,Not Available," For 218 years, the Presidio served as an army post for three nations. World and local events, from military campaigns to World Fairs and earthquakes, left their mark. Come enjoy the history and the natural beauty of the Presidio. Explore centuries of architecture. Reflect in a national cemetery. Walk along an historic airfield, through forests or to beaches, and admire spectacular vistas. ","San Francisco, CA"
